,Description,Country,Weather,Time of Day,Season,Activity,student_id,Consistency_Label
33,"""Tall Avatar-style sandstone pillars covered in mist, make you feel like in the movie""",China,Cloudy,Afternoon,Spring,sightseeing,1190855,Consistent
34,"""lantern-lit city at night with warm colors""",Vietnam,Not Clear,Evening,Spring,water,1190855,Contradictory
35,"""Shibuya Crossing at night with neon light everywhere """,Japan,Not Clear,Evening,Fall,sightseeing,1190855,Consistent
36,"""Horseshoe falls with huge mist cloud and strong water flow """,Canada,Sunny,Afternoon,Winter,sightseeing,1190855,Consistent
37,"""Calm countryside atmposphere where sheeps grazing peacefully in the large grassy field in the foreground while the abbey centered in the middle """,France,Cloudy,Evening,Fall,sightseeing,1190855,Consistent
38,"""a dramatic mountain landscape with a narrow trail running along the ridgeline during a sunrise""",Portugal,Sunny,Morning,Spring,hiking,1190855,Consistent
39,""" valley with Staubbach waterfall, green fields, Swiss houses and mountains",Switzerland,Sunny,Afternoon,Summer,sightseeing,1190855,Consistent
40,"A clear aerial view of a Maldives island featuring a white sandy beach, turquoise water, palm trees, and a seaplane parked on the shore. This image represents the peaceful tropical beauty of the Maldives.",Maldives,Sunny,Afternoon,Summer,relaxing,1200242,Consistent
41,"A stunning sunset view of the Maiden�s Tower in Istanbul, illuminated warmly as the city skyline glows behind it. The vibrant sky blends orange and blue, creating a magical atmosphere over the Bosphorus.",Turkey,Not Clear,Evening,Fall,sightseeing,1200242,Consistent
42,"Trekkers hiking through the rocky trails of the Everest region in the Himalayas, surrounded by dramatic mountain landscapes and clear blue skies. The snowy peaks create a breathtaking, adventurous atmosphere.",Nepal,Sunny,Morning,Fall,hiking,1200242,Consistent
43,"A stunning alpine landscape in Switzerland with bright green hills, a peaceful lake, wooden cabins, and towering snow-covered peaks under a clear blue sky. A postcard-perfect mountain view.",Switzerland,Sunny,Afternoon,Summer,sightseeing,1200242,Consistent
44,"A vibrant night scene in Kabukich?, Tokyo, filled with colorful neon lights, busy crosswalks, and lively crowds. The illuminated buildings highlight the energetic nightlife of Japan's capital.",Japan,Not Clear,Evening,Not Clear,sightseeing,1200242,Contradictory
45,"A peaceful desert highway in Texas leading toward rugged, sunlit mountains. The warm evening light casts dramatic shadows across the rocky landscape, capturing the quiet beauty of the American Southwest.",USA,Sunny,Evening,Fall,unknown,1200242,Consistent
46,A breathtaking sunset scene at the Pyramids of Giza featuring camel riders crossing the desert as the warm sun casts dramatic shadows. The silhouettes of the ancient pyramids create a timeless and adventurous atmosphere.,Egypt,Sunny,Evening,Not Clear,sightseeing,1200242,Consistent
47,"A picturesque Parisian street leading to the Eiffel Tower at sunset, with warm light reflecting off historic buildings and cobblestone streets. The soft sky colors highlight the romantic charm of Paris.",France,Sunny,Evening,Fall,sightseeing,1200242,Consistent
48,"A golden sunset at Ipanema Beach in Rio de Janeiro, with surfboards in the sand and people enjoying the lively beachfront. The iconic Dois Irm�os mountains create a perfect blend of nature, surf culture, and Brazilian energy.",Brazil,Sunny,Evening,Summer,relaxing,1200242,Consistent
49,A majestic view of the Great Wall of China winding across lush green mountains under a dramatic cloudy sky. The ancient stone towers and pathways highlight the vast scale and historical significance of this landmark.,China,Cloudy,Afternoon,Summer,sightseeing,1200242,Consistent
50,Eiffel Tower in Paris during sunset with colorful sky,France,Sunny,Evening,Summer,sightseeing,1200431,Consistent
51,White houses and blue domes in Santorini on a bright day,Greece,Sunny,Afternoon,Summer,relaxing,1200431,Consistent
52,Shibuya crossing in Tokyo full of people and bright neon lights,Japan,Not Clear,Evening,Not Clear,other,1200431,Contradictory
53,Turquoise water and overwater bungalows in the Maldives,Maldives,Sunny,Afternoon,Summer,relaxing,1200431,Consistent
54,The ancient rock-carved facade of Petra between high cliffs,Jordan,Sunny,Afternoon,Summer,hiking,1200431,Consistent
55,Times Square in New York with colorful billboards and crowds,USA,Not Clear,Evening,Not Clear,sightseeing,1200431,Contradictory
56,Snow-covered peaks of the Swiss Alps with a valley below,Switzerland,Snowy,Afternoon,Winter,hiking,1200431,Consistent
57,Green rice terraces in Bali surrounded by tropical trees,Indonesia,Sunny,Morning,Spring,hiking,1200431,Consistent
58,The Great Pyramids of Giza under a clear blue sky,Egypt,Sunny,Afternoon,Summer,sightseeing,1200431,Consistent
59,Hot air balloons flying over the rocky valleys of Cappadocia,Turkey,Sunny,Morning,Summer,adventure,1200431,Consistent
60,"A distant view of the Eiffel Tower with surrounding buildings. I chose this place because of its historic charm, iconic architecture, and relaxing atmosphere.",France,Sunny,Evening,Summer,sightseeing,1200964,Consistent
61,A traditional Japanese house surrounded by colorful autumn trees. I chose this place because of its peaceful atmosphere and the beauty of Japanese architecture during the fall season.,Japan,Sunny,Afternoon,Fall,sightseeing,1200964,Consistent
62,"Fishing boats docked in a scenic harbor in Cape Town. I chose this place because its clear waters, vibrant harbor atmosphere, and sense of adventure make it an exciting travel destination.",South Africa,Sunny,Afternoon,Summer,hiking,1200964,Consistent
63,"A young woman in traditional Peruvian clothes standing among purple spring flowers in Cusco. I chose this place because I�m curious to learn more about its rich history, culture, and beautiful traditional atmosphere.",Peru,Sunny,Morning,Spring,sightseeing,1200964,Consistent
64,A woman sitting on a log near a snow-covered body of water in Canada. I chose this place for its serene winter landscape and the peaceful feeling of being close to nature.,Canada,Snowy,Morning,Winter,hiking,1200964,Consistent
65,Stands of the Spotify Camp Nou Stadium in Barcelona. I chose this place because of my passion for football and the iconic atmosphere of the stadium.,Spain,Sunny,Afternoon,Spring,sightseeing,1200964,Consistent
66,A portrait of a kangaroo in an Australian animal park. I chose this place because I�m curious to explore Australia�s wildlife and natural environment.,Australia,Sunny,Afternoon,Summer,sightseeing,1200964,Consistent
67,A massive iceberg floating in Greenland�s icy waters. I chose this place for its breathtaking natural beauty and the sense of adventure in exploring remote polar landscapes.,Greenland,Snowy,Morning,Winter,sightseeing,1200964,Contradictory
68,A red hammock tied between two trees in the Maldives. I chose this place for its relaxing atmosphere and the peaceful feeling of enjoying a calm morning by the beach.,Maldives,Sunny,Morning,Summer,relaxing,1200964,Consistent
69,A man riding a horse in traditional clothing in Tunisia. I chose this place for its rich cultural heritage and the charm of experiencing local traditions.,Tunisia,Cloudy,Afternoon,Fall,other,1200964,Consistent
70,"Alhambra Palace, A historic Moorish palace in Granada famous for its intricate carvings, gardens, and Islamic architectural beauty.",Spain,Sunny,Afternoon,Summer,sightseeing,1201169,Consistent
71,"Vatican City, St. Peter�s Basilica glowing beautifully over the river at sunset.",Italy,Not Clear,Evening,Summer,sightseeing,1201169,Consistent
72,"Dome of the Rock, A golden-domed Islamic shrine in Jerusalem known for its striking architecture and sacred significance.",Palestine,Not Clear,Evening,Spring,sightseeing,1201169,Consistent
73,"Umayyad Mosque, A stunning view of the courtyard with golden mosaics and ancient architecture.",Syria,Cloudy,Morning,Fall,sightseeing,1201169,Consistent
74,"Giza Pyramids, Camels crossing the desert in front of the iconic Great Pyramid.",Egypt,Cloudy,Afternoon,Spring,adventure,1201169,Consistent
75,"Santorini, White cliffside houses overlooking the blue sea with pink bougainvillea trees.",Greece,Sunny,Morning,Spring,relaxing,1201169,Consistent
76,"A traditional market in Fez, where colorful slippers and handmade crafts line the steps, showcasing the city�s rich heritage.",Morocco,Sunny,Afternoon,Summer,other,1201169,Consistent
77,"The Australian Alps, known for their high peaks and snowy landscapes, offer some of the country�s highest and most scenic mountain views.",Australia,Snowy,Afternoon,Winter,hiking,1201169,Consistent
78,"Central London, known for its historic streets and iconic red double-decker buses, is one of the city�s most recognizable and vibrant areas.",London,Rainy,Afternoon,Winter,sightseeing,1201169,Contradictory
79,"The famous Berlin Cathedral, illuminated beautifully at night, reflected on the waters of the Spree River amid a calm and charming atmosphere.",Germany,Cloudy,Evening,Summer,sightseeing,1201169,Consistent
80,A romantic view of the Eiffel Tower hidden between the trees.,France,Cloudy,Evening,Fall,sightseeing,1201208,Consistent
81,A peaceful view of Santorini�s iconic blue-domed building overlooking the sea.,Greece,Sunny,Afternoon,Summer,relaxing,1201208,Consistent
82,Cherry blossoms surrounding a traditional temple in Kyoto.,Japan,Sunny,Morning,Spring,sightseeing,1201208,Consistent
83,A breathtaking coastal view of Amalfi with boats floating in crystal blue water.,Italy,Sunny,Afternoon,Summer,sightseeing,1201208,Consistent
84,A serene lakeside view of Hallstatt surrounded by mountains.,Austria,Cloudy,Morning,Fall,relaxing,1201208,Consistent
85,Aerial view of Bali�s lush green rice terraces.,Indonesia,Sunny,Morning,Spring,hiking,1201208,Consistent
86,Central Park during autumn with warm orange and yellow trees.,USA,Cloudy,Afternoon,Fall,sightseeing,1201208,Consistent
87,"A beautiful view of Chefchaouen, Morocco�s famous blue city.",Morocco,Sunny,Morning,Summer,sightseeing,1201208,Consistent
88,Colorful floral pathways inside Dubai Miracle Garden.,UAE,Sunny,Afternoon,Winter,relaxing,1201208,Consistent
89,A peaceful lake view in Lucerne surrounded by green mountains.,Switzerland,Sunny,Morning,Spring,relaxing,1201208,Consistent
90,This photo shows the Eiffel Tower on a morning. I chose this place because it is very famous and I want to visit Paris.,Paris,Sunny,Morning,Fall,sightseeing,1201234,Consistent
91,This photo shows the Grand Canyon during sunrise with beautiful colors on the rocks. I chose this place because it looks amazing and I want to visit it one day,USA,Sunny,Morning,Spring,hiking,1201234,Consistent
92,"This photo shows the Swiss Alps with a snowy mountain, blue lakes, and green valleys. I chose this place because it looks peaceful and very beautiful.",Switzerland,Sunny,Morning,Summer,hiking,1201234,Consistent
93,This photo shows the Statue of Liberty on a sunny day with a beautiful view of the city behind it. I chose this place because it is very famous and I want to visit New York one day.,USA,Sunny,Afternoon,Fall,sightseeing,1201234,Consistent
94,This photo shows beautiful overwater villas in the Maldives during sunset. I chose this place because it looks peaceful and perfect for relaxing,Maldive,Sunny,Evening,Summer,relaxing,1201234,Consistent
95,This photo shows Shibuya Crossing at night with many people and bright lights. I chose this place because it looks exciting and full of energy.,Japan,Not Clear,Evening,Not Clear,walking,1201234,Contradictory
96,"This photo shows Oia in Santorini during sunset, with white houses and a beautiful sea view. I chose this place because it looks peaceful and very famous.",Greece,Sunny,Evening,Summer,walking,1201234,Consistent
97,"This photo shows the Dome of the Rock covered in snow, with people playing outside. I chose this place because it is important and very beautiful, especially in the snow.",Palestine,Snowy,Afternoon,Winter,sightseeing,1201234,Contradictory
98,This photo shows Tower Bridge in London at night with bright lights. I chose this place because it is a famous landmark and I want to visit London one day.,UK,Not Clear,Evening,Not Clear,sightseeing,1201234,Contradictory
99,"This image shows Stonehenge covered in snow. I chose this place because it is very old and mysterious, and I would like to see it in real life.",UK,Snowy,Morning,Winter,sightseeing,1201234,Contradictory
100,"Swiss cows grazing in the Berner Oberland Alps, chosen for its peaceful nature and classic Swiss scenery.",Switzerland,Sunny,Afternoon,Summer,nature,1201261,Consistent
101,"Eiffel Tower in Paris at sunset, chosen because it's an iconic landmark and dream destination for many travelers.",France,Sunny,Evening,Summer,sightseeing,1201261,Consistent
102,"Amsterdam canals with bicycles and Dutch houses, chosen for its beautiful city architecture and peaceful waterways.",Netherlands,Sunny,Afternoon,Spring,walking,1201261,Consistent
103,"Old Town Square in Prague at sunset, chosen for its magical medieval atmosphere and golden skyline.",Czech Republic,Sunny,Evening,Fall,sightseeing,1201261,Consistent
104,"Alhambra in Granada, a historic Islamic palace chosen for its architecture and cultural importance.",Spain,Sunny,Afternoon,Summer,cultural,1201261,Consistent
105,"Lake Como overlooking the mountains, chosen for its peaceful water views and charming villages.",Italy,Sunny,Afternoon,Summer,relaxing,1201261,Consistent
106,"Hallstatt village covered in snow, chosen for its fairy-tale beauty and winter charm.",Austria,Snowy,Morning,Winter,walking,1201261,Consistent
107,"Interlaken with mountains and lakes, chosen for its adventure atmosphere and natural beauty.",Switzerland,Sunny,Afternoon,Summer,hiking,1201261,Consistent
108,"Aerial view of Santiago Bernab�u Stadium in Madrid, chosen for its importance in football culture.",Spain,Sunny,Afternoon,Spring,other,1201261,Consistent
109,"Uzung�l Lake in Turkey surrounded by mountains and village homes, chosen for its peaceful natural scenery.",Turkey,Cloudy,Morning,Fall,relaxing,1201261,Consistent
110,Iguaçu Falls � massive waterfalls on the Brazil�,Brazil,Sunny,Morning,Summer,sightseeing,1201768,Consistent
111,"Pantanal Wetlands ""Vast wetland with rivers, lakes, and diverse wildlife""",Brazil,Sunny,Morning,Spring,sightseeing,1201768,Consistent
112,"Serra dos �rg�os National Park "" Mountainous park with jagged rock formations, rivers""",Brazil,Sunny,Morning,Summer,walking,1201768,Consistent
113,"Salvador � colorful historic streets of Pelourinho""",Brazil,Sunny,Morning,Summer,sightseeing,1201768,Consistent
114,"Soca River Valley ""Stunning turquoise river flowing through mountains and forests""",Slovenia,Sunny,Afternoon,Winter,hiking,1201768,Consistent
115,"""Iconic peaks, glaciers, rivers""",Chile,Cloudy,Evening,Winter,photography,1201768,Consistent
116,"Mountains ""Matterhorn and alpine peaks""",Switzerland,Snowy,Afternoon,Winter,relaxing,1201768,Consistent
117,"""Thick pine forests, rolling hills, small villages""",Germany,Cloudy,Afternoon,Spring,walking,1201768,Consistent
118,"""Pillar-like mountains, inspiration for �Avatar� movie""",China,Cloudy,Morning,Winter,hiking,1201768,Consistent
119,"""Blue ice formations inside a glacier""",Iceland,Snowy,Afternoon,Winter,hiking,1201768,Consistent
120,"""The Great Pyramids of Giza in Egypt, ancient wonders of the world.""",Egypt,Sunny,Afternoon,Summer,sightseeing,1201862,Consistent
121,"""The Citadel of Qaitbay in Alexandria, Egypt, a historic fortress on the Mediterranean coast.""",Egypt,Sunny,Afternoon,Summer,sightseeing,1201862,Consistent
122,"""The Kaaba in Mecca, Saudi Arabia, the holiest site in Islam.""",Saudi Arabia,Sunny,Afternoon,Summer,religious,1201862,Consistent
123,"""The Dome of the Rock in Jerusalem, a historic Islamic shrine with a golden dome.""",Palestine,Not Clear,Evening,Not Clear,religious,1201862,Contradictory
124,"""The blue-domed churches and white-washed buildings of Oia, Santorini, Greece, overlooking the sea.""",Greece,Cloudy,Evening,Summer,relaxing,1201862,Consistent
125,"A traditional Japanese Torii gate and temple structure illuminated at dusk, suggesting a quiet, spiritual place.",Japan,Cloudy,Evening,Fall,sightseeing,1201862,Consistent
126,"""The Eiffel Tower in Paris, France, an iconic landmark and symbol of French culture.""",France,Snowy,Evening,Winter,sightseeing,1201862,Contradictory
127,"The Taj Mahal in Agra, India, iconic white marble mausoleum and symbol of love.",India,Sunny,Morning,Spring,sightseeing,1201862,Consistent
128,"The Elizabeth Tower (Big Ben) in London, a famous historical clock tower.",United Kingdom,Snowy,Evening,Winter,relaxing,1201862,Consistent
129,"""The Statue of Liberty in New York City, USA, a symbol of freedom and democracy.""",USA,Cloudy,Evening,Fall,sightseeing,1201862,Consistent
130,Al-Aqsa Mosque a sacred and historical Islamic site,Palestine,Rainy,Afternoon,Winter,sightseeing,1202223,Contradictory
131,Colosseum in Rome an ancient Roman amphitheater showcasing historical architecture,Italy,Sunny,Evening,Summer,sightseeing,1202223,Consistent
132,Seoul cityscape vibrant city with modern architecture,South Korea,Cloudy,Evening,Spring,relaxing,1202223,Consistent
133,Eiffel Tower in Paris an iconic landmark in France.,France,Sunny,Afternoon,Fall,sightseeing,1202223,Consistent
134,Aurora Borealis in the Arctic Circle Northern Lights illuminating the night sky,Arctic Circle,Snowy,Evening,Winter,hiking,1202223,Consistent
135,Beach in Sidi Bou Said Tunisia white sands and blue sea with scenic views,Tunisia,Sunny,Afternoon,Summer,relaxing,1202223,Consistent
136,Santorini iconic white houses and blue domes on cliffs overlooking the sea,Greece,Sunny,Afternoon,Spring,relaxing,1202223,Consistent
137,Beach in Thailand with crystal clear water perfect for relaxation and leisure,Thailand,Sunny,Morning,Summer,sightseeing,1202223,Consistent
138,Bioluminescent beach in the Maldives glowing waters creating a magical night scene,Maldives,Sunny,Evening,Summer,sightseeing,1202223,Consistent
139,Cologne Cathedral in Germany Gothic architecture with intricate details,Germany,Sunny,Morning,Summer,sightseeing,1202223,Consistent
140,"A view of the Court of the Lions in the Alhambra Palace in Granada, showing detailed Islamic arches and a marble fountain with lion statues.",Spain,Sunny,Afternoon,Summer,sightseeing,1202450,Consistent
141,"Old stone ruins from the Angkor temple area in Cambodia, with carved walls and tall temple buildings in bright sunlight.",Cambodia,Sunny,Afternoon,Summer,sightseeing,1202450,Consistent
142,"A wide view of the Colosseum in Rome during sunset, with warm golden light illuminating the ancient stone arches.",Italy,Sunny,Evening,Fall,sightseeing,1202450,Consistent
143,"A strong view of the Sk�gafoss waterfall in Iceland, with green cliffs around it and mist rising from the falling water.",Iceland,Sunny,Afternoon,Summer,sightseeing,1202450,Consistent
144,"A panoramic view of the Old City of Jerusalem, featuring the Al-Aqsa Mosque, the golden Dome of the Rock, and the historic stone walls with the modern skyline in the background.",Palestine,Sunny,Afternoon,Spring,sightseeing,1202450,Consistent
145,"A vibrant scene at the Izmir Clock Tower in Konak Square, with palm trees, pigeons, and people enjoying the sunny day around the historic landmark.",Turkey,Sunny,Afternoon,Summer,sightseeing,1202450,Consistent
146,"A strong view of Antarctica�s icy mountains rising above the cold ocean, with snowy peaks, glaciers, and pieces of ice floating on the water.",Antarctica,Cloudy,Afternoon,Summer,sightseeing,1202450,Consistent
147,"Ulun Danu Beratan Temple in Bali, built on small islands on Lake Beratan, surrounded by calm water and green mountains.",Indonesia,Cloudy,Afternoon,Not Clear,sightseeing,1202450,Consistent
148,"A busy night scene in Times Square in New York City, with bright signs, yellow taxis, and many people walking on the lit-up streets.",USA,Not Clear,Evening,Not Clear,sightseeing,1202450,Contradictory
149,"A clear daytime view of Big Ben and the Palace of Westminster in London, with people and cars crossing Westminster Bridge under a bright blue sky.",United Kingdom,Sunny,Afternoon,Summer,sightseeing,1202450,Consistent
150,The Treasury in Petra carved into the red sandstone cliffs. I chose this place because I love ancient history and dream of walking through the Siq to see this view in real life.,Jordan,Sunny,Afternoon,Spring,sightseeing,1203048,Consistent
151,Bright red torii gate and main shrine buildings at Fushimi Inari in Kyoto. I chose it because I love Japanese culture and want to walk through the endless torii gates.,Japan,Sunny,Afternoon,Spring,sightseeing,1203048,Consistent
152,Brooklyn Bridge and the New York City skyline at sunset with snow along the riverbank. I chose it because I want to experience the energy of New York and see this view in real life.,United States,Snowy,Evening,Winter,sightseeing,1203048,Contradictory
153,The Colosseum in Rome on a clear day with people walking around the ancient arena. I chose it because I love Roman history and want to imagine how it looked in the past.,Italy,Sunny,Afternoon,Summer,sightseeing,1203048,Consistent
154,Autumn trees in Greenwich Park with golden and orange leaves and a soft sky in the background. I chose it because I love peaceful autumn walks and the warm colors of the park.,United Kingdom,Cloudy,Afternoon,Fall,relaxing,1203048,Consistent
155,Green rice terraces in Bali with palm trees and soft light over the hills. I chose it because I love peaceful tropical nature and want to walk between the terraces.,Indonesia,Cloudy,Morning,Summer,hiking,1203048,Consistent
156,Green northern lights shining across the dark sky above snowy mountains and a still lake in Iceland. I chose it because seeing the aurora in person is one of my biggest travel dreams.,Iceland,Snowy,Evening,Winter,sightseeing,1203048,Contradictory
157,White houses and a busy harbor on a Greek island with clear turquoise water and small boats. I chose it because I dream of island-hopping in Greece and relaxing by the sea.,Greece,Sunny,Afternoon,Summer,relaxing,1203048,Consistent
158,"Wet cobblestone street leading to Galata Tower in Istanbul, with people walking between old buildings on a rainy day. I chose it because I love the cozy feeling of exploring historic streets in the rain.",Turkey,Rainy,Afternoon,Fall,walking,1203048,Consistent
159,"A peaceful evening view of Mecca, capturing the spiritual atmosphere of the holy city. I chose this place because it represents faith, unity, and it gave me a lifetime pilgrimage experience visit.",Mecca,Not Clear,Evening,Not Clear,religious,1210084,Contradictory
160,"This image shows the colorful coastline of Miami, a place I have already visited and really enjoyed. I chose it because of Miami�s beaches, vibrant atmosphere , and warm weather.",Miami,Cloudy,Evening,Summer,other,1210084,Consistent
161,"This image captures the historic and spiritual beauty of Jerusalem. I included it in my list because I have visited the city, and experiencing its ancient landmarks left a deep impression on me.",Jerusalem,Sunny,Evening,Summer,sightseeing,1210084,Consistent
162,The hot air balloons over Cappadocia are a sight I�ve always wanted to experience. The unique landscape and peaceful sunrise make it a dream destination,Turkey,Sunny,Afternoon,Spring,adventure,1210084,Consistent
163,This image shows a bright spring morning in Paris with flowers blooming and the Eiffel Tower in view. I chose this place because I would love to visit Paris in the spring .,Paris,Sunny,Morning,Spring,sightseeing,1210084,Consistent
164,"This image shows a calm New York City morning, with buildings rising above the streets and the city slowly coming to life , I chose this destination because New York�s night view inspires me , the glowing skyscrapers, bright lights, and energy of the city at night always make me want to visit.",New York,Cloudy,Morning,Fall,sightseeing,1210084,Consistent
165,"A peaceful small-boat tour gliding through the canals of Italy, surrounded by historic architecture and calm waters. I hope to visit this place one day to enjoy its cultural charm.",Italy,Sunny,Morning,Summer,water,1210084,Consistent
166,"A traditional souk in old Syria filled with narrow lanes, local shops, and historic architecture. I chose this place because I admire the cultural beauty and the feeling of walking through ancient markets.",Syria,Not Clear,Afternoon,Not Clear,other,1210084,Contradictory
167,"A breathtaking view of one of California�s iconic national parks, surrounded by towering cliffs, lush forests, and dramatic natural landscapes. I chose this destination because California�s parks like Yosemite, Sequoia, or Redwood are world famous for their beauty, and I dream of exploring the trails, wildlife, and peaceful nature they offer. It represents adventure and a deep appreciation for the outdoors.",California,Cloudy,Morning,Fall,hiking,1210084,Consistent
168,"The Bas�lica de la Sagrada Fam�lia in Barcelona, one of the world�s most famous architectural masterpieces. I chose this destination because its unique design and long history of construction make it a fascinating cultural icon.",Spain,Cloudy,Afternoon,Spring,sightseeing,1210084,Consistent
169,Eiffel Tower glowing at dusk with city lights. Iconic Paris view with romantic evening vibes.,France,Not Clear,Evening,Spring,sightseeing,1210123,Consistent
170,"The ancient terraces and mountains of Machu Picchu. Iconic Incan site showcasing history, architecture, and breathtaking natural scenery.",Peru,Sunny,Morning,Spring,hiking,1210123,Consistent
171,Colorful white-and-blue houses on the cliffs above the sea in Santorini. Famous for its stunning architecture and panoramic ocean views.,Greece,Sunny,Afternoon,Summer,relaxing,1210123,Consistent
172,Colorful buildings lining the canals of Venice. Venice�s canals and architecture create a picturesque and unique cityscape.,Italy,Sunny,Afternoon,Spring,other,1210123,Consistent
173,"Overwater bungalows and turquoise water in Bora Bora. Iconic tropical destination known for luxury, relaxation, and stunning natural beauty.",French Polynesia,Sunny,Afternoon,Summer,relaxing,1210123,Consistent
174,Snowy mountains and frozen lake in Banff National Park. Banff offers breathtaking alpine scenery and a serene winter landscape.,Canada,Snowy,Afternoon,Winter,winter_sport,1210123,Consistent
175,Mushers guide a team of dogs racing through snowy forests and open trails. Michigan offers scenic winter landscapes perfect for an exciting dog-sled experience.,USA,Snowy,Morning,Winter,sightseeing,1210123,Contradictory
176,"A quiet cobblestone street lined with orange fall trees during a light rain. Evokes a peaceful, cozy atmosphere perfect for reflective walks.",Germany,Rainy,Afternoon,Fall,walking,1210123,Consistent
